hcpcs,service,mue_value,mai,rationale,effective_date,source
C7500,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7501,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7502,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7503,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7504,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7505,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7506,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7507,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7508,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7509,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7510,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7511,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7512,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7513,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7514,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7515,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7516,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7517,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7518,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7519,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7520,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7521,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7522,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7523,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7524,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7525,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7526,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7527,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7528,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7529,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7530,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7531,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7532,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7533,practitioner,3,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7534,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7535,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7537,practitioner,1,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7538,practitioner,1,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7539,practitioner,1,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7540,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7541,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7542,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7543,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7544,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7545,practitioner,2,3,Clinical: Society Comment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7546,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7547,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7548,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7549,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7550,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7551,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7552,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7553,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7554,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7555,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7556,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7557,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7560,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7562,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7563,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7564,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7565,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C7903,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8000,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8001,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8002,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8003,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8004,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8005,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8900,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8901,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8902,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8903,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8905,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8906,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8908,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8909,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8910,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8911,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8912,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8913,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8914,practitioner,1,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8918,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8919,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8920,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8921,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8922,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8923,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8924,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8925,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8926,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8927,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8928,practitioner,1,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8929,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8930,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8931,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8932,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8933,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8934,practitioner,2,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8935,practitioner,2,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8936,practitioner,2,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8937,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C8957,practitioner,2,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9046,practitioner,160,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9047,practitioner,22,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9067,practitioner,500,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9101,practitioner,300,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9143,practitioner,160,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9144,practitioner,660,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9250,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9254,practitioner,400,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9257,practitioner,10,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9285,practitioner,2,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9293,practitioner,700,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9352,practitioner,3,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9353,practitioner,4,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9354,practitioner,300,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9355,practitioner,5,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9356,practitioner,125,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9358,practitioner,800,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9359,practitioner,30,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9360,practitioner,300,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9361,practitioner,10,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9362,practitioner,60,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9363,practitioner,500,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9364,practitioner,600,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9460,practitioner,1,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9462,practitioner,600,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9482,practitioner,150,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9488,practitioner,20,3,Prescribing Information,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9507,practitioner,2,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9600,practitioner,3,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9601,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9602,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9603,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9604,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9605,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9606,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9607,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9608,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9610,practitioner,1,3,Nature of Equipment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9725,practitioner,1,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9726,practitioner,2,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9727,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9728,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9733,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9734,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9738,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9739,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9740,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9756,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9757,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9758,practitioner,1,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9759,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9760,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9761,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9762,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9763,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9764,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9765,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9766,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9767,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9768,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9772,practitioner,2,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9773,practitioner,2,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9774,practitioner,2,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9775,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9776,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9777,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9778,practitioner,1,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9781,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9782,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9783,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9785,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9789,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9791,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9792,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9793,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9796,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9797,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9804,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9806,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9807,practitioner,1,3,Nature of Equipment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9808,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9809,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
C9901,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0150,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0240,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0250,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0270,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0272,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0274,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0277,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0412,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0416,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0431,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0460,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0484,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0485,practitioner,1,2,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0601,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0602,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D0603,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1510,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1516,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1517,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1520,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1526,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1527,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1551,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1552,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1553,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1575,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D1999,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4260,practitioner,4,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4263,practitioner,4,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4264,practitioner,3,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4270,practitioner,4,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4273,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4277,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4278,practitioner,3,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4355,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D4381,practitioner,12,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5282,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5283,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5876,practitioner,2,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5911,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5912,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5951,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5983,practitioner,1,3,Nature of Equipment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5984,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D5985,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7111,practitioner,20,3,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7140,practitioner,32,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7210,practitioner,32,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7220,practitioner,6,3,Clinical: Society Comment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7230,practitioner,6,3,Clinical: Society Comment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7240,practitioner,6,3,Clinical: Society Comment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7241,practitioner,6,3,Clinical: Society Comment,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7250,practitioner,32,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7260,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7261,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7283,practitioner,4,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7288,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D7321,practitioner,4,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D9110,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D9130,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
D9230,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
